id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
1SlDcrsv9QFPQbx2ELXBSA,La Cura,45,77180,0,['Duel Menez'],['1sVrnJnNR58znIkwVTQMhe'],2021,0.753,0.624,2,-8.75,1,0.177,0.00959,0.887,0.0878,0.278,90.015,4,Reggaeton
1Vk7lxjaQAg6GaOYcTj5vd,Adicto,44,61404,0,['dreamerbad'],['2OfuJkpTaPASnfgcqGLXyr'],2021,0.81,0.341,4,-18.641,0,0.242,0.0941,2.02e-05,0.0798,0.569,90.299,4,Ska
58RtibEJF6De8dtwUFQX14,Si Supieras,42,75349,0,['jenny lander'],['2pzu1apsdwn57Dbn96CVH9'],2021,0.889,0.319,1,-12.191,1,0.118,0.0109,0.799,0.0562,0.3,129.024,4,Reggaeton
3jOsBU504vf0FUWqTxcdtF,Lejos,42,76535,0,['mack flay'],['5dt44eEgb9syKMakXHJ9uC'],2021,0.827,0.332,0,-10.36,1,0.121,0.169,0.921,0.374,0.132,127.281,4,Reggaeton
6Qj6itqNMFfenCxRg7yxMd,Amor Puro,41,155338,0,['Tobaez closs'],['5OCtJocxoKOexlTKTf2dt1'],2021,0.642,0.782,11,-7.653,0,0.0748,0.0453,0.902,0.0845,0.31,176.132,4,Reggaeton
0XAR5oSJ0c6pQtDxSZDYt5,Hola,42,75349,0,['los amiguitos'],['25gJbIbaWOtHTd9CfNogyh'],2021,0.794,0.259,1,-12.493,1,0.221,0.00183,0.946,0.102,0.283,129.115,4,Reggaeton
4unnPcywoTk3KiDMcalsuE,For You,42,105938,0,['selma lee'],['101SaMLIR9XmTXz4Z8rGrr'],2021,0.876,0.478,9,-8.537,1,0.16,0.00214,0.415,0.0823,0.295,127.87,4,Soul
4fSp56ULFfajEsX0rNRu2D,Nube,62,187051,1,"['Chucky73', 'Eladio Carrion']","['38epWdyauFwdRkldqUMfWE', '5XJDexmWFLWOkjOEjOVX3e']",2021,0.843,0.563,2,-8.344,1,0.107,0.37,0.000691,0.152,0.733,110.01,4,Reggaeton
5HtXa6L9vdwBKMjYnawYLS,Cuchi Cuchi,40,103511,0,['bad plansy'],['0diLybP1Cvf668rdr8Vhug'],2021,0.889,0.495,6,-8.803,0,0.157,0.000791,0.848,0.06,0.427,131.1,4,Reggaeton
37R3XTgyax1VlF3MJhUbu9,On Me,24,135960,1,['Lil Baby'],['5f7VJjfbwm532GiveGC0ZK'],2021,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,4,Rap
70T85kP4tlRkzL9bMUo2gm,Candy,41,82326,0,['Nairoby Doñe'],['3HxEdn6o16H5XSOGVTJ3Yq'],2021,0.881,0.793,7,-8.283,1,0.0599,0.00057,0.949,0.276,0.967,70.006,4,Soul
7h8HmcDPCHgFJ4von7M1Bq,changes,26,121887,0,['XXXTENTACION'],['15UsOTVnJzReFVN1VCnxy4'],2021,0.669,0.308,11,-10.069,1,0.029,0.883,0.0,0.0984,0.52,64.936,4,Rap
5f70gjbNrFybAq8NVzJ9m4,Que Rico,39,138286,0,['mega rico'],['3JlKl5OBn2RKiypynYUklN'],2021,0.884,0.484,10,-8.753,0,0.376,0.0396,0.234,0.0901,0.599,105.276,4,Reggaeton
50UrEDQKWFnvbD9K5mXJvz,My Love,39,105938,0,['mr zeta'],['3MYxB4IN2G5dF7Qa7b8N87'],2021,0.79,0.343,10,-10.318,0,0.115,0.00121,0.766,0.115,0.0581,127.982,4,Soul
3wrBFPDRyIGyGXxGSc970M,Desnudarte,71,262200,1,"['Brytiago', 'Jay Wheeler']","['00XhexlJEXQstHimpZN910', '2cPqdH7XMvwaBJEVjheH8g']",2021,0.863,0.527,10,-6.261,1,0.216,0.377,3.7e-06,0.0946,0.599,90.99,4,Reggaeton
7h70eXfddLroWHIkXDV7wN,Yeah Yeah,40,62549,0,['DJ Yella'],['1Wfh3Tz3xOB4JjqTk2zT5K'],2021,0.753,0.693,3,-7.015,1,0.0807,0.571,0.939,0.0887,0.352,95.087,4,Reggae
6BFkiR2zXUC8JB2Kt4oknR,Mírame,60,177690,1,['Eladio Carrion'],['5XJDexmWFLWOkjOEjOVX3e'],2021,0.44,0.807,5,-4.27,0,0.172,0.307,0.0,0.147,0.724,160.041,4,Reggaeton
7qzF2z1R1YQc5BhZPefFC0,Last Year,2,195717,0,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']","['1M25cy1w92G4Sf3Xnjogki', '6lEEFhZjBSbgUhjZAIT49V']",2021,0.765,0.0145,5,-13.783,0,0.0754,0.964,0.931,0.0915,0.493,77.934,3,Indie
6WaCKO2Gdu6M5d03mseEmE,2019,0,107442,0,['ghostkiller'],['1yomV5g4q3SfR825LckZ40'],2021,0.761,0.774,6,-8.03,1,0.363,0.00933,0.927,0.0434,0.616,171.978,4,Rap
0O3K3mRJpL6oCeaQHW5E0Z,TBT,21,239133,0,"['Sebastian Yatra', 'Rauw Alejandro', 'Manuel Turizo']","['07YUOmWljBTXwIseAUd9TW', '1mcTU81TzQhprhouKaTkpq', '0tmwSHipWxN12fsoLcFU3B']",2021,0.794,0.855,2,-1.959,1,0.0466,0.0362,0.0,0.142,0.64,91.963,4,Reggaeton
02jwccEshdWmRN7DeVhQEZ,Por Perro,21,245360,0,"['Sebastian Yatra', 'Luis Figueroa', 'Lary Over']","['07YUOmWljBTXwIseAUd9TW', '7waNCUQ1Ne7OoNHgqpgMZ7', '1jSjfSgDjedJdi5MoyRu78']",2021,0.684,0.762,0,-5.147,1,0.0564,0.419,0.0,0.0759,0.905,172.015,4,Pop
60aD0sfa6kQKZECtKjcebl,Traicionera,21,230280,0,['Sebastian Yatra'],['07YUOmWljBTXwIseAUd9TW'],2021,0.779,0.675,11,-4.976,1,0.0485,0.138,0.0,0.105,0.63,91.006,4,Reggaeton
3i8smGoHg9ebuSoONiK8UE,Runaway,20,200693,0,"['Sebastian Yatra', 'Daddy Yankee', 'Natti Natasha', 'Jonas Brothers']","['07YUOmWljBTXwIseAUd9TW', '4VMYDCV2IEDYJArk749S6m', '1GDbiv3spRmZ1XdM1jQbT7', '7gOdHgIoIKoe4i9Tta6qdD']",2021,0.756,0.851,2,-3.33,1,0.0675,0.0336,0.0,0.126,0.934,75.014,4,Rock
6fICtGJP8Mp3iIEsZLW3oM,Chica Ideal,20,183240,0,"['Sebastian Yatra', 'Guaynaa']","['07YUOmWljBTXwIseAUd9TW', '0BqURncJM5B1BBu7UM51eq']",2021,0.574,0.891,0,-3.665,0,0.157,0.0847,0.0,0.16,0.707,100.978,4,Reggaeton
4sWUtLnTb2kxDzWCjWJ0Bl,Ya No Tiene Novio,20,198933,0,"['Sebastian Yatra', 'Mau y Ricky']","['07YUOmWljBTXwIseAUd9TW', '2wkoKEfS6dXwThbyTnZWFU']",2021,0.632,0.832,7,-1.948,0,0.156,0.048,0.0,0.0705,0.783,182.193,4,Pop
7JlkxvPt4HQSzr4XT5Plsl,Adiós,73,182413,0,['Sebastian Yatra'],['07YUOmWljBTXwIseAUd9TW'],2021,0.41,0.342,0,-6.591,1,0.0345,0.633,0.0,0.109,0.217,144.783,4,Reggaeton
56hRNcWyNKZ2W5AT60hAe2,Caliente,55,185000,0,"['Manuel Turizo', 'El Alfa', 'will.i.am']","['0tmwSHipWxN12fsoLcFU3B', '2oQX8QiMXOyuqbcZEFsZfm', '085pc2PYOi8bGKj0PNjekA']",2021,0.859,0.67,7,-4.859,1,0.148,0.208,0.00105,0.226,0.667,96.013,4,Ska
